iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.519436945149928,2.1894107818603517,0.2015625,1716920074,,False,1,c86bd313,2024-05-28_20-14-34,9.240597248077393,9.240597248077393,4363,VRMWB-16GGJX3,192.168.163.40,9.240597248077393,1
0,2.5758953918645413,2.1974527657032015,0.1953125,1716920283,,False,1,c86bd313,2024-05-28_20-18-03,36.5150249004364,36.5150249004364,6984,VRMWB-16GGJX3,192.168.163.40,36.5150249004364,1
1,2.0295396645863852,1.7932116866111756,0.365625,1716920305,,False,2,c86bd313,2024-05-28_20-18-25,21.691267013549805,58.206291913986206,6984,VRMWB-16GGJX3,192.168.163.40,58.206291913986206,2
2,1.5876163847652482,1.2537997275590897,0.5453125,1716920330,,False,3,c86bd313,2024-05-28_20-18-50,24.813344717025757,83.01963663101196,6984,VRMWB-16GGJX3,192.168.163.40,83.01963663101196,3
0,2.5254160151069547,2.2641978025436402,0.1640625,1716920422,,False,1,c86bd313,2024-05-28_20-20-22,31.493932723999023,31.493932723999023,8726,VRMWB-16GGJX3,192.168.163.40,31.493932723999023,1
1,2.018585468515938,1.6161624133586883,0.428125,1716920438,,False,2,c86bd313,2024-05-28_20-20-38,16.15114736557007,47.64508008956909,8726,VRMWB-16GGJX3,192.168.163.40,47.64508008956909,2
2,1.4172008847012931,1.2326462328433991,0.5078125,1716920454,,False,3,c86bd313,2024-05-28_20-20-54,15.255073308944702,62.900153398513794,8726,VRMWB-16GGJX3,192.168.163.40,62.900153398513794,3
3,1.0479044009138037,0.8521576404571534,0.684375,1716920467,,False,4,c86bd313,2024-05-28_20-21-07,13.442493438720703,76.3426468372345,8726,VRMWB-16GGJX3,192.168.163.40,76.3426468372345,4
4,0.6935817591937972,0.4931995183229446,0.85625,1716920481,,False,5,c86bd313,2024-05-28_20-21-21,14.198404788970947,90.54105162620544,8726,VRMWB-16GGJX3,192.168.163.40,90.54105162620544,5
5,0.4147665390261897,0.24247238487005235,0.9453125,1716920499,,False,6,c86bd313,2024-05-28_20-21-39,17.802852630615234,108.34390425682068,8726,VRMWB-16GGJX3,192.168.163.40,108.34390425682068,6
6,0.21288614379770962,0.1704900350421667,0.9609375,1716920523,,False,7,c86bd313,2024-05-28_20-22-03,23.936814546585083,132.28071880340576,8726,VRMWB-16GGJX3,192.168.163.40,132.28071880340576,7
7,0.15715956674129875,0.12150897588580847,0.971875,1716920541,,False,8,c86bd313,2024-05-28_20-22-21,18.342249631881714,150.62296843528748,8726,VRMWB-16GGJX3,192.168.163.40,150.62296843528748,8
8,0.10715222381699233,0.12562867226079105,0.971875,1716920556,,False,9,c86bd313,2024-05-28_20-22-36,14.679005861282349,165.30197429656982,8726,VRMWB-16GGJX3,192.168.163.40,165.30197429656982,9
